Date,Open,High,Low,Close,Adj Close,Volume
2021-05-04,18.430000,18.559999,18.379999,18.490000,18.490000,1908800
2021-05-05,18.639999,18.940001,18.549999,18.920000,18.920000,2055500
2021-05-06,19.000000,19.230000,18.920000,19.209999,19.209999,2428200
2021-05-07,19.250000,19.360001,19.070000,19.330000,19.330000,3591100
2021-05-10,19.250000,19.250000,18.980000,18.980000,18.980000,3319400
2021-05-11,19.100000,19.250000,19.100000,19.240000,19.240000,2297200
2021-05-12,19.200001,19.270000,19.040001,19.059999,19.059999,2470000
2021-05-13,18.889999,18.900000,18.370001,18.530001,18.530001,2850600
2021-05-14,18.700001,18.700001,18.330000,18.360001,18.360001,1911900
2021-05-17,18.400000,18.469999,18.299999,18.389999,18.389999,1364600
2021-05-18,18.590000,18.680000,18.530001,18.590000,18.590000,1763300
2021-05-19,18.340000,18.410000,18.200001,18.410000,18.410000,1636500
2021-05-20,18.410000,18.490000,18.330000,18.379999,18.379999,961000
2021-05-21,18.290001,18.420000,18.260000,18.389999,18.389999,1319500
2021-05-24,18.180000,18.299999,18.139999,18.280001,18.280001,1448300
2021-05-25,18.350000,18.420000,18.080000,18.190001,18.190001,1194400
2021-05-26,18.150000,18.270000,18.020000,18.219999,18.219999,1082800
2021-05-27,18.299999,18.620001,18.299999,18.580000,18.580000,1116200
2021-05-28,18.639999,18.750000,18.580000,18.590000,18.590000,790100
2021-06-01,18.900000,19.090000,18.820000,18.889999,18.889999,1344500
2021-06-02,18.969999,19.030001,18.730000,18.920000,18.920000,937500
2021-06-03,18.959999,18.959999,18.610001,18.670000,18.670000,744700
2021-06-04,18.770000,19.040001,18.770000,19.010000,19.010000,634200
2021-06-07,19.129999,19.139999,18.940001,19.000000,19.000000,1252100
2021-06-08,19.080000,19.190001,19.030001,19.080000,19.080000,549700
2021-06-09,19.010000,19.070000,18.879999,19.030001,19.030001,681600
2021-06-10,19.090000,19.209999,19.040001,19.139999,19.139999,618800
2021-06-11,19.010000,19.049999,18.860001,19.040001,19.040001,629500
2021-06-14,18.530001,18.780001,18.500000,18.680000,18.680000,1675100
2021-06-15,18.480000,18.549999,18.410000,18.520000,18.520000,1328300
2021-06-16,18.530001,18.610001,18.389999,18.389999,18.389999,1857900
2021-06-17,18.120001,18.209999,17.670000,17.680000,17.680000,2853100
